thresh_type,thresh,block,plot,year,max_gi,max_gi_doy,greenup_doy,senesc_doy,gs_length,gs_integral
global,gi3410,5,11,2020,0.342431498,163.8254503,135.6478622,262.3666374,126.7187752,32.22670897
global,gi3410,5,12,2020,0.347719979,166.4081982,120.0500464,216.1346939,96.08464753,35.55459475
global,gi3410,6,1,2020,0.3430168,184.492674,144.8195266,228.1951461,83.37561949,29.66530405
global,gi3410,6,2,2020,0.347459962,183.8672633,126.9583366,299.633432,172.6750953,44.52130171
global,gi3410,6,3,2020,0.342795715,199.5761309,142.6953663,NA,NA,35.71192324
global,gi3410,6,4,2020,0.347712774,170.7417276,105.1869936,292.5637757,187.3767821,44.3703128
global,gi3410,6,5,2020,0.349444054,175.7125806,114.5657603,287.1193393,172.553579,45.62049678
global,gi3410,6,6,2020,0.351360885,168.5396156,107.1950696,288.7668534,181.5717838,49.8516821
global,gi3410,6,7,2020,0.344276649,164.9110659,119.6781674,264.2567127,144.5785454,34.85725535
global,gi3410,6,8,2020,0.345346338,164.8947455,115.8979763,288.5674873,172.669511,39.45432761
global,gi3410,6,9,2020,0.343203663,175.6168972,130.0234813,280.435596,150.4121146,35.49093034
global,gi3410,6,10,2020,0.342020668,185.4648036,142.83512,266.0226958,123.1875758,32.13862776
global,gi3410,6,11,2020,0.346998032,167.5199053,105.2850846,299.3226377,194.0375531,45.92720546
global,gi3410,6,12,2020,0.34656555,175.9799539,122.1724093,284.7339629,162.5615537,40.47621219
local,gi10percmax,1,1,2020,0.347916708,175.9673768,103.3357352,296.1865114,192.8507762,38.90636284
local,gi10percmax,1,2,2020,0.353750219,177.3383173,111.5485966,291.755371,180.2067744,52.24078772
local,gi10percmax,1,3,2020,0.342950187,163.6044923,95.73814018,284.6193204,188.8811802,28.07972029
local,gi10percmax,1,4,2020,0.34471279,165.887696,103.9979392,287.0351964,183.0372572,32.15091253
local,gi10percmax,1,5,2020,0.354170208,175.0958965,107.5906309,290.7687879,183.178157,50.09187396
local,gi10percmax,1,6,2020,0.342444436,166.8118908,116.6428393,285.0913015,168.4484622,29.43929831
local,gi10percmax,1,7,2020,0.343446543,171.910903,97.12194649,280.5212734,183.3993269,30.67464205
local,gi10percmax,1,8,2020,0.350509215,166.5046668,100.9902448,270.0793498,169.089105,38.55305969
local,gi10percmax,1,9,2020,0.346286004,178.574862,115.8981202,296.2438304,180.3457102,37.60700165
local,gi10percmax,1,10,2020,0.345862674,175.2664444,111.6755928,283.6387219,171.9631291,35.35766252
local,gi10percmax,1,11,2020,0.341333516,147.9421292,93.96250248,279.2849464,185.3224439,29.15332304
local,gi10percmax,1,12,2020,0.346928155,167.7055094,120.6946143,212.7274387,92.03282441,36.42942113
local,gi10percmax,2,1,2020,0.34156939,169.2883318,96.42772272,245.5915981,149.1638754,23.38661086
local,gi10percmax,2,2,2020,0.346379041,175.3767246,110.7669478,284.8405312,174.0735834,37.9449951
local,gi10percmax,2,3,2020,0.354329305,175.1606956,109.4050596,268.0956984,158.6906388,51.93603472
local,gi10percmax,2,4,2020,0.342595384,199.5971987,120.0422309,299.4468373,179.4046064,30.17028579
local,gi10percmax,2,5,2020,0.349631737,176.2443578,111.560844,296.4620052,184.9011612,43.74284749
local,gi10percmax,2,6,2020,0.351151621,175.774031,115.4320102,294.3418463,178.909836,47.61996685
local,gi10percmax,2,7,2020,0.341245167,172.2415918,96.52527392,282.4438581,185.9185842,25.47528272
local,gi10percmax,2,8,2020,0.345288248,175.2492317,104.47814,291.8281816,187.3500416,31.39851612
local,gi10percmax,2,9,2020,0.35465692,182.6266891,117.6872783,253.6700413,135.982763,49.68731384
local,gi10percmax,2,10,2020,0.339777848,195.0624619,104.4150358,298.5124415,194.0974057,23.39318051
local,gi10percmax,2,11,2020,0.358533628,167.5793594,99.75722083,263.5283679,163.7711471,47.54037119
local,gi10percmax,2,12,2020,0.349861873,175.8504049,111.8180437,280.4073876,168.5893439,42.00203201
